id,name,category,subcategory,rarity,professions,region,short_uses,file_name
50271,2026-01-04_SIGMA Barkglass Spore Husk,Ingredient,Spore,Common,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_barkglass_spore_husk.png
50272,2026-01-04_SIGMA Barkglass Lichen Weave,Ingredient,Fiber,Uncommon,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_barkglass_lichen_weave.png
50273,2026-01-04_SIGMA Barkglass Amber Pellet,Ingredient,Pellet,Rare,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_barkglass_amber_pellet.png
50274,2026-01-04_SIGMA Lumenwoven Sap Flake,Ingredient,Sap,Common,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_lumenwoven_sap_flake.png
50275,2026-01-04_SIGMA Lumenwoven Resin Thread,Ingredient,Resin,Uncommon,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_lumenwoven_resin_thread.png
50276,2026-01-04_SIGMA Lumenwoven Bark Curl,Ingredient,Bark,Rare,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_lumenwoven_bark_curl.png
50277,2026-01-04_SIGMA Lumenwoven Spore Husk,Ingredient,Spore,Common,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_lumenwoven_spore_husk.png
50278,2026-01-04_SIGMA Lumenwoven Lichen Weave,Ingredient,Fiber,Uncommon,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_lumenwoven_lichen_weave.png
50279,2026-01-04_SIGMA Lumenwoven Amber Pellet,Ingredient,Pellet,Rare,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_lumenwoven_amber_pellet.png
50280,2026-01-04_SIGMA Stonebridge Sap Flake,Ingredient,Sap,Common,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_stonebridge_sap_flake.png
50281,2026-01-04_SIGMA Stonebridge Resin Thread,Ingredient,Resin,Uncommon,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_stonebridge_resin_thread.png
50282,2026-01-04_SIGMA Stonebridge Bark Curl,Ingredient,Bark,Rare,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_stonebridge_bark_curl.png
50283,2026-01-04_SIGMA Stonebridge Spore Husk,Ingredient,Spore,Common,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_stonebridge_spore_husk.png
50284,2026-01-04_SIGMA Stonebridge Lichen Weave,Ingredient,Fiber,Uncommon,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_stonebridge_lichen_weave.png
50285,2026-01-04_SIGMA Stonebridge Amber Pellet,Ingredient,Pellet,Rare,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_stonebridge_amber_pellet.png
50286,2026-01-04_SIGMA Hearthpost Sap Flake,Ingredient,Sap,Common,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_hearthpost_sap_flake.png
50287,2026-01-04_SIGMA Hearthpost Resin Thread,Ingredient,Resin,Uncommon,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_hearthpost_resin_thread.png
50288,2026-01-04_SIGMA Hearthpost Bark Curl,Ingredient,Bark,Rare,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_hearthpost_bark_curl.png
50289,2026-01-04_SIGMA Hearthpost Spore Husk,Ingredient,Spore,Common,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_hearthpost_spore_husk.png
50290,2026-01-04_SIGMA Hearthpost Lichen Weave,Ingredient,Fiber,Uncommon,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_hearthpost_lichen_weave.png
50291,2026-01-04_SIGMA Hearthpost Amber Pellet,Ingredient,Pellet,Rare,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_hearthpost_amber_pellet.png
50292,2026-01-04_SIGMA Mirebreath Sap Flake,Ingredient,Sap,Common,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_mirebreath_sap_flake.png
50293,2026-01-04_SIGMA Mirebreath Resin Thread,Ingredient,Resin,Uncommon,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_mirebreath_resin_thread.png
50294,2026-01-04_SIGMA Mirebreath Bark Curl,Ingredient,Bark,Rare,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_mirebreath_bark_curl.png
50295,2026-01-04_SIGMA Mirebreath Spore Husk,Ingredient,Spore,Common,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_mirebreath_spore_husk.png
50296,2026-01-04_SIGMA Mirebreath Lichen Weave,Ingredient,Fiber,Uncommon,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_mirebreath_lichen_weave.png
50297,2026-01-04_SIGMA Mirebreath Amber Pellet,Ingredient,Pellet,Rare,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_mirebreath_amber_pellet.png
50298,2026-01-04_SIGMA Bramble-Echo Sap Flake,Ingredient,Sap,Common,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_bramble-echo_sap_flake.png
50299,2026-01-04_SIGMA Bramble-Echo Resin Thread,Ingredient,Resin,Uncommon,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_bramble-echo_resin_thread.png
50300,2026-01-04_SIGMA Bramble-Echo Bark Curl,Ingredient,Bark,Rare,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_bramble-echo_bark_curl.png
50301,2026-01-04_SIGMA Bramble-Echo Spore Husk,Ingredient,Spore,Common,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_bramble-echo_spore_husk.png
50302,2026-01-04_SIGMA Bramble-Echo Lichen Weave,Ingredient,Fiber,Uncommon,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_bramble-echo_lichen_weave.png
50303,2026-01-04_SIGMA Bramble-Echo Amber Pellet,Ingredient,Pellet,Rare,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_bramble-echo_amber_pellet.png
50304,2026-01-04_SIGMA Shrinescribed Sap Flake,Ingredient,Sap,Common,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_shrinescribed_sap_flake.png
50305,2026-01-04_SIGMA Shrinescribed Resin Thread,Ingredient,Resin,Uncommon,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_shrinescribed_resin_thread.png
50306,2026-01-04_SIGMA Shrinescribed Bark Curl,Ingredient,Bark,Rare,Herbalism,Greatwood,Bramble-Echo Thicket drop; traded by Sapbroker Neral.,2026-01-04_sigma_shrinescribed_bark_curl.png
50307,2026-01-04_SIGMA Shrinescribed Spore Husk,Ingredient,Spore,Common,Alchemy,Greatwood,Mirebreath Run gather; refined at Hearthpost kettles.,2026-01-04_sigma_shrinescribed_spore_husk.png
50308,2026-01-04_SIGMA Shrinescribed Lichen Weave,Ingredient,Fiber,Uncommon,Tailoring,Greatwood,Root-Song Shrine chant-lock component; ward favor with Istra.,2026-01-04_sigma_shrinescribed_lichen_weave.png
50309,2026-01-04_SIGMA Shrinescribed Amber Pellet,Ingredient,Pellet,Rare,Carving,Greatwood,Stonebridge cache reward; peddler Yim buys bundles.,2026-01-04_sigma_shrinescribed_amber_pellet.png
50310,2026-01-04_SIGMA Whisperline Sap Tea,Consumable,Tea,Common,Cooking,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_whisperline_sap_tea.png
50311,2026-01-04_SIGMA Whisperline Resin Draught,Consumable,Tonic,Uncommon,Alchemy,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_whisperline_resin_draught.png
50312,2026-01-04_SIGMA Whisperline Ward Salve,Consumable,Salve,Rare,Runecrafting,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_whisperline_ward_salve.png
50313,2026-01-04_SIGMA Whisperline Signal Chalk,Consumable,Chalk,Common,Cooking,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_whisperline_signal_chalk.png
50314,2026-01-04_SIGMA Rootbound Sap Tea,Consumable,Tea,Uncommon,Alchemy,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_rootbound_sap_tea.png
50315,2026-01-04_SIGMA Rootbound Resin Draught,Consumable,Tonic,Rare,Runecrafting,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_rootbound_resin_draught.png
50316,2026-01-04_SIGMA Rootbound Ward Salve,Consumable,Salve,Common,Cooking,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_rootbound_ward_salve.png
50317,2026-01-04_SIGMA Rootbound Signal Chalk,Consumable,Chalk,Uncommon,Alchemy,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_rootbound_signal_chalk.png
50318,2026-01-04_SIGMA Sapsong Sap Tea,Consumable,Tea,Rare,Runecrafting,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_sapsong_sap_tea.png
50319,2026-01-04_SIGMA Sapsong Resin Draught,Consumable,Tonic,Common,Cooking,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_sapsong_resin_draught.png
50320,2026-01-04_SIGMA Sapsong Ward Salve,Consumable,Salve,Uncommon,Alchemy,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_sapsong_ward_salve.png
50321,2026-01-04_SIGMA Sapsong Signal Chalk,Consumable,Chalk,Rare,Runecrafting,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_sapsong_signal_chalk.png
50322,2026-01-04_SIGMA Wardbound Sap Tea,Consumable,Tea,Common,Cooking,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_wardbound_sap_tea.png
50323,2026-01-04_SIGMA Wardbound Resin Draught,Consumable,Tonic,Uncommon,Alchemy,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_wardbound_resin_draught.png
50324,2026-01-04_SIGMA Wardbound Ward Salve,Consumable,Salve,Rare,Runecrafting,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_wardbound_ward_salve.png
50325,2026-01-04_SIGMA Wardbound Signal Chalk,Consumable,Chalk,Common,Cooking,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_wardbound_signal_chalk.png
50326,2026-01-04_SIGMA Hearthbrew Sap Tea,Consumable,Tea,Uncommon,Alchemy,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_hearthbrew_sap_tea.png
50327,2026-01-04_SIGMA Hearthbrew Resin Draught,Consumable,Tonic,Rare,Runecrafting,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_hearthbrew_resin_draught.png
50328,2026-01-04_SIGMA Hearthbrew Ward Salve,Consumable,Salve,Common,Cooking,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_hearthbrew_ward_salve.png
50329,2026-01-04_SIGMA Hearthbrew Signal Chalk,Consumable,Chalk,Uncommon,Alchemy,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_hearthbrew_signal_chalk.png
50330,2026-01-04_SIGMA Stonebridge Sap Tea,Consumable,Tea,Rare,Runecrafting,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_stonebridge_sap_tea.png
50331,2026-01-04_SIGMA Stonebridge Resin Draught,Consumable,Tonic,Common,Cooking,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_stonebridge_resin_draught.png
50332,2026-01-04_SIGMA Stonebridge Ward Salve,Consumable,Salve,Uncommon,Alchemy,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_stonebridge_ward_salve.png
50333,2026-01-04_SIGMA Stonebridge Signal Chalk,Consumable,Chalk,Rare,Runecrafting,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_stonebridge_signal_chalk.png
50334,2026-01-04_SIGMA Lumenbright Sap Tea,Consumable,Tea,Common,Cooking,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_lumenbright_sap_tea.png
50335,2026-01-04_SIGMA Lumenbright Resin Draught,Consumable,Tonic,Uncommon,Alchemy,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_lumenbright_resin_draught.png
50336,2026-01-04_SIGMA Lumenbright Ward Salve,Consumable,Salve,Rare,Runecrafting,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_lumenbright_ward_salve.png
50337,2026-01-04_SIGMA Lumenbright Signal Chalk,Consumable,Chalk,Common,Cooking,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_lumenbright_signal_chalk.png
50338,2026-01-04_SIGMA Mirebreath Sap Tea,Consumable,Tea,Uncommon,Alchemy,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_mirebreath_sap_tea.png
50339,2026-01-04_SIGMA Mirebreath Resin Draught,Consumable,Tonic,Rare,Runecrafting,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_mirebreath_resin_draught.png
50340,2026-01-04_SIGMA Mirebreath Ward Salve,Consumable,Salve,Common,Cooking,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_mirebreath_ward_salve.png
50341,2026-01-04_SIGMA Mirebreath Signal Chalk,Consumable,Chalk,Uncommon,Alchemy,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_mirebreath_signal_chalk.png
50342,2026-01-04_SIGMA Brambleglass Sap Tea,Consumable,Tea,Rare,Runecrafting,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_brambleglass_sap_tea.png
50343,2026-01-04_SIGMA Brambleglass Resin Draught,Consumable,Tonic,Common,Cooking,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_brambleglass_resin_draught.png
50344,2026-01-04_SIGMA Brambleglass Ward Salve,Consumable,Salve,Uncommon,Alchemy,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_brambleglass_ward_salve.png
50345,2026-01-04_SIGMA Brambleglass Signal Chalk,Consumable,Chalk,Rare,Runecrafting,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_brambleglass_signal_chalk.png
50346,2026-01-04_SIGMA Shrinesafe Sap Tea,Consumable,Tea,Common,Cooking,Greatwood,Brewed at Whisperline Hearthpost; bonus vs barkmail foes.,2026-01-04_sigma_shrinesafe_sap_tea.png
50347,2026-01-04_SIGMA Shrinesafe Resin Draught,Consumable,Tonic,Uncommon,Alchemy,Greatwood,Vendor: Wardscribe Istra when given Root-Song artifacts.,2026-01-04_sigma_shrinesafe_resin_draught.png
50348,2026-01-04_SIGMA Shrinesafe Ward Salve,Consumable,Salve,Rare,Runecrafting,Greatwood,Drop: Hollow Verge Encampment smugglers; calms ward pulses.,2026-01-04_sigma_shrinesafe_ward_salve.png
50349,2026-01-04_SIGMA Shrinesafe Signal Chalk,Consumable,Chalk,Common,Cooking,Greatwood,Craft: combines resin threads with shrine water.,2026-01-04_sigma_shrinesafe_signal_chalk.png
50350,2026-01-04_SIGMA Whisperline Hood,Gear,Hood,Common,Leatherworking,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_whisperline_hood.png
50351,2026-01-04_SIGMA Whisperline Cloak,Gear,Cloak,Uncommon,Tailoring,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_whisperline_cloak.png
50352,2026-01-04_SIGMA Whisperline Boots,Gear,Boots,Rare,Smithing,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_whisperline_boots.png
50353,2026-01-04_SIGMA Whisperline Sash,Gear,Sash,Common,Leatherworking,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_whisperline_sash.png
50354,2026-01-04_SIGMA Rootbound Hood,Gear,Hood,Uncommon,Tailoring,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_rootbound_hood.png
50355,2026-01-04_SIGMA Rootbound Cloak,Gear,Cloak,Rare,Smithing,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_rootbound_cloak.png
50356,2026-01-04_SIGMA Rootbound Boots,Gear,Boots,Common,Leatherworking,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_rootbound_boots.png
50357,2026-01-04_SIGMA Rootbound Sash,Gear,Sash,Uncommon,Tailoring,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_rootbound_sash.png
50358,2026-01-04_SIGMA Saptrail Hood,Gear,Hood,Rare,Smithing,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_saptrail_hood.png
50359,2026-01-04_SIGMA Saptrail Cloak,Gear,Cloak,Common,Leatherworking,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_saptrail_cloak.png
50360,2026-01-04_SIGMA Saptrail Boots,Gear,Boots,Uncommon,Tailoring,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_saptrail_boots.png
50361,2026-01-04_SIGMA Saptrail Sash,Gear,Sash,Rare,Smithing,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_saptrail_sash.png
50362,2026-01-04_SIGMA Wardbound Hood,Gear,Hood,Common,Leatherworking,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_wardbound_hood.png
50363,2026-01-04_SIGMA Wardbound Cloak,Gear,Cloak,Uncommon,Tailoring,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_wardbound_cloak.png
50364,2026-01-04_SIGMA Wardbound Boots,Gear,Boots,Rare,Smithing,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_wardbound_boots.png
50365,2026-01-04_SIGMA Wardbound Sash,Gear,Sash,Common,Leatherworking,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_wardbound_sash.png
50366,2026-01-04_SIGMA Stonebridge Hood,Gear,Hood,Uncommon,Tailoring,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_stonebridge_hood.png
50367,2026-01-04_SIGMA Stonebridge Cloak,Gear,Cloak,Rare,Smithing,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_stonebridge_cloak.png
50368,2026-01-04_SIGMA Stonebridge Boots,Gear,Boots,Common,Leatherworking,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_stonebridge_boots.png
50369,2026-01-04_SIGMA Stonebridge Sash,Gear,Sash,Uncommon,Tailoring,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_stonebridge_sash.png
50370,2026-01-04_SIGMA Barkmail Hood,Gear,Hood,Rare,Smithing,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_barkmail_hood.png
50371,2026-01-04_SIGMA Barkmail Cloak,Gear,Cloak,Common,Leatherworking,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_barkmail_cloak.png
50372,2026-01-04_SIGMA Barkmail Boots,Gear,Boots,Uncommon,Tailoring,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_barkmail_boots.png
50373,2026-01-04_SIGMA Barkmail Sash,Gear,Sash,Rare,Smithing,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_barkmail_sash.png
50374,2026-01-04_SIGMA Echoed Hood,Gear,Hood,Common,Leatherworking,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_echoed_hood.png
50375,2026-01-04_SIGMA Echoed Cloak,Gear,Cloak,Uncommon,Tailoring,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_echoed_cloak.png
50376,2026-01-04_SIGMA Echoed Boots,Gear,Boots,Rare,Smithing,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_echoed_boots.png
50377,2026-01-04_SIGMA Echoed Sash,Gear,Sash,Common,Leatherworking,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_echoed_sash.png
50378,2026-01-04_SIGMA Lumenwoven Hood,Gear,Hood,Uncommon,Tailoring,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_lumenwoven_hood.png
50379,2026-01-04_SIGMA Lumenwoven Cloak,Gear,Cloak,Rare,Smithing,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_lumenwoven_cloak.png
50380,2026-01-04_SIGMA Lumenwoven Boots,Gear,Boots,Common,Leatherworking,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_lumenwoven_boots.png
50381,2026-01-04_SIGMA Lumenwoven Sash,Gear,Sash,Uncommon,Tailoring,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_lumenwoven_sash.png
50382,2026-01-04_SIGMA Hearthpost Hood,Gear,Hood,Rare,Smithing,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_hearthpost_hood.png
50383,2026-01-04_SIGMA Hearthpost Cloak,Gear,Cloak,Common,Leatherworking,Greatwood,Crafted with Sapsinger Resin Chalk and threads.,2026-01-04_sigma_hearthpost_cloak.png
50384,2026-01-04_SIGMA Hearthpost Boots,Gear,Boots,Uncommon,Tailoring,Greatwood,Drop inside Rootbound Vault side rooms.,2026-01-04_sigma_hearthpost_boots.png
50385,2026-01-04_SIGMA Hearthpost Sash,Gear,Sash,Rare,Smithing,Greatwood,Purchased from Sapbroker Neral after ward favor.,2026-01-04_sigma_hearthpost_sash.png
50386,2026-01-04_SIGMA Mirewalk Hood,Gear,Hood,Common,Leatherworking,Greatwood,Quest reward from Warden-Captain Aelric.,2026-01-04_sigma_mirewalk_hood.png
