id,name,category,subcategory,rarity,professions,region,short_uses,file_name
50043,Dusk Buckle 50043,Key,Salt Key,Common,Engineering,Glimmerdeep canals,Basic key used for side doors and caches.,item_50043.png
50044,Cinder Cairn 50044,Trophy,Claw,Uncommon,Alchemy,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_50044.png
50045,Glimmering Knot 50045,Material,Ore,Common,Jewelry,Emberford outskirts,Core trade material used in many early recipes.,item_50045.png
50046,Dusk Hook 50046,Tool,Hammer,Common,Cooking,Emberford outskirts,Utility item for travel salvage and exploration.,item_50046.png
50047,Stormkissed Skein 50047,Map,Cave Map,Common,Herbalism,Deepwatch,Simple navigation aid that points to micro-locations.,item_50047.png
50048,Hearthworn Buckle Wand 50048,Gear,Wand,Common,Enchanting,Emberford outskirts,Baseline leveling piece with steady stats and simple flavor.,item_50048.png
50049,Stormkissed Skein 50049,Consumable,Food,Uncommon,Leatherworking,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_50049.png
50050,Oathforged Buckle 50050,Tool,Saw,Common,Enchanting,Glimmerdeep shore,Utility item for travel salvage and exploration.,item_50050.png
50051,Ashen Lantern 50051,Ingredient,Mushroom,Uncommon,Alchemy,Emberford markets,Common crafting input used across cooking and alchemy.,item_50051.png
50052,Warden's Knot 50052,Alchemy,Distillate,Common,Mining,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_50052.png
50053,Frostbound Pouch Boots 50053,Gear,Leather Boots,Common,Engineering,Frost Caverns,Baseline leveling piece with steady stats and simple flavor.,item_50053.png
50054,Mireborn Gizmo 50054,Quest,Quest Item,Common,None,Glimmerdeep shore,Objective item for contracts and errands.,item_50054.png
50055,Saltstained Hook 50055,Ingredient,Spice,Common,Tailoring,Bramblefold hedges,Common crafting input used across cooking and alchemy.,item_50055.png
50056,Rivercut Gizmo 50056,World Object,Marker,Rare,Tailoring,Frost Caverns,Placeable/interactive world piece for events.,item_50056.png
50057,Dusk Buckle 50057,World Object,Totem,Common,Cooking,Saltmarrow strand,Placeable/interactive world piece for events.,item_50057.png
50058,Dusk Stitch 50058,Curio,Oddity,Common,None,Saltmarrow tidepools,Flavor drop that feeds quests vendors and collectors.,item_50058.png
50059,Ashen Shard 50059,Toy,Wooden Doll,Common,Tailoring,Frostbriar trails,Harmless fun item with small social value.,item_50059.png
50060,Mireborn Rivet 50060,Tool,Knife,Common,Smithing,Glimmerdeep shore,Utility item for travel salvage and exploration.,item_50060.png
50061,Rivercut Cog 50061,Trophy,Scale,Rare,Smithing,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_50061.png
50062,Cinder Talisman 50062,Document,Notice,Common,Fishing,Glimmerdeep canals,Readable lore drop that hints at routes and secrets.,item_50062.png
50063,Frostbound Totem 50063,Consumable,Salve,Uncommon,Tailoring,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_50063.png
50064,Bramble Hook 50064,World Object,Totem,Common,Herbalism,Bramblefold hedges,Placeable/interactive world piece for events.,item_50064.png
50065,Cinder Shard 50065,World Object,Totem,Rare,Cooking,Duskhollow bogs,Placeable/interactive world piece for events.,item_50065.png
50066,Cinder Ration 50066,Consumable,Scroll,Common,Enchanting,Saltmarrow strand,Everyday field supply that reduces downtime.,item_50066.png
50067,Rivercut Skein 50067,Map,Cave Map,Common,Enchanting,Saltmarrow strand,Simple navigation aid that points to micro-locations.,item_50067.png
50068,Stormkissed Stitch 50068,Map,Ruin Sketch,Common,None,Glimmerdeep shore,Simple navigation aid that points to micro-locations.,item_50068.png
50069,Bramble Balm 50069,World Object,Cairn,Common,Mining,Bramblefold hedges,Placeable/interactive world piece for events.,item_50069.png
50070,Cinder Carving 50070,Trinket,Stone,Common,Smithing,Glimmerdeep shore,Minor passive charm with low-power utility.,item_50070.png
50071,Ashen Charm 50071,Profession Tool,Leather Kit,Common,Tailoring,Frost Caverns,Starter kit enabling profession actions.,item_50071.png
50072,Warden's Gizmo 50072,Profession Tool,Alchemy Kit,Uncommon,Smithing,Saltmarrow tidepools,Starter kit enabling profession actions.,item_50072.png
50073,Ashen Gizmo 50073,Tool,Knife,Common,Tailoring,Frost Caverns,Utility item for travel salvage and exploration.,item_50073.png
50074,Pilgrim's Charm 50074,Consumable,Salve,Common,Engineering,Ashen Ridge terraces,Everyday field supply that reduces downtime.,item_50074.png
50075,Cinder Compass 50075,Profession Tool,Jeweler Kit,Common,Leatherworking,Saltmarrow tidepools,Starter kit enabling profession actions.,item_50075.png
50076,Rivercut Spice 50076,Toy,Dice,Uncommon,Herbalism,Saltmarrow tidepools,Harmless fun item with small social value.,item_50076.png
50077,Lanternlit Fillet 50077,Trinket,Sigil,Common,Tailoring,Bramblefold hedges,Minor passive charm with low-power utility.,item_50077.png
50078,Stormkissed Tonic 50078,Trinket,Stone,Common,Mining,Emberford outskirts,Minor passive charm with low-power utility.,item_50078.png
50079,Hearthworn Pike 50079,Document,Ledger,Common,Herbalism,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_50079.png
50080,Glimmering Talisman 50080,Profession Tool,Alchemy Kit,Uncommon,Engineering,Frostbriar trails,Starter kit enabling profession actions.,item_50080.png
50081,Bramble Pouch 50081,World Object,Cairn,Common,Fishing,Emberford markets,Placeable/interactive world piece for events.,item_50081.png
50082,Ashen Token 50082,World Object,Cache,Rare,Jewelry,Deepwatch,Placeable/interactive world piece for events.,item_50082.png
50083,Market Token 50083,Trophy,Horn,Common,Cooking,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_50083.png
50084,Oathforged Band 50084,World Object,Marker,Common,Alchemy,Saltmarrow strand,Placeable/interactive world piece for events.,item_50084.png
50085,Rivercut Pouch 50085,Trophy,Scale,Uncommon,Fishing,Deepwatch,Monster proof used for bounties and turn-ins.,item_50085.png
50086,Market Cog 50086,Toy,Spin Top,Rare,Herbalism,Emberford markets,Harmless fun item with small social value.,item_50086.png
50087,Rivercut Charm Gloves 50087,Gear,Cloth Gloves,Uncommon,Leatherworking,Saltmarrow tidepools,Baseline leveling piece with steady stats and simple flavor.,item_50087.png
50088,Cinder Fillet 50088,Document,Map Scrap,Common,Mining,Glimmerdeep canals,Readable lore drop that hints at routes and secrets.,item_50088.png
50089,Glimmering Needle 50089,Trophy,Scale,Uncommon,Fishing,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_50089.png
50090,Glimmering Fillet Wand 50090,Gear,Wand,Common,Cooking,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_50090.png
50091,Hearthworn Tonic 50091,Ingredient,Herb,Rare,Tailoring,Emberford markets,Common crafting input used across cooking and alchemy.,item_50091.png
50092,Pilgrim's Totem 50092,Alchemy,Essence,Uncommon,Jewelry,Frostbriar trails,Reliable reagent for low to mid-tier mixtures.,item_50092.png
50093,Saltstained Fillet 50093,Document,Ledger,Common,Jewelry,Deepwatch,Readable lore drop that hints at routes and secrets.,item_50093.png
50094,Market Ration 50094,Curio,Token,Common,None,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_50094.png
50095,Saltstained Totem 50095,Tool,Rope,Common,Enchanting,Frostbriar trails,Utility item for travel salvage and exploration.,item_50095.png
50096,Mireborn Knot 50096,Map,Trail Map,Uncommon,Jewelry,Emberford markets,Simple navigation aid that points to micro-locations.,item_50096.png
50097,Ashen Token 50097,World Object,Cairn,Common,Enchanting,Glimmerdeep canals,Placeable/interactive world piece for events.,item_50097.png
50098,Pilgrim's Totem 50098,World Object,Cache,Common,Cooking,Bramblefold hedges,Placeable/interactive world piece for events.,item_50098.png
50099,Lanternlit Skein 50099,Alchemy,Essence,Common,Herbalism,Bramblefold hedges,Reliable reagent for low to mid-tier mixtures.,item_50099.png
50100,Lanternlit Lantern 50100,Trinket,Sigil,Common,Engineering,Duskhollow bogs,Minor passive charm with low-power utility.,item_50100.png
50101,Dusk Fillet 50101,Profession Tool,Jeweler Kit,Rare,Alchemy,Saltmarrow tidepools,Starter kit enabling profession actions.,item_50101.png
50102,Rivercut Needle 50102,Toy,Dice,Common,Mining,Glimmerdeep canals,Harmless fun item with small social value.,item_50102.png
50103,Lanternlit Knot 50103,Tool,Saw,Uncommon,Cooking,Glimmerdeep shore,Utility item for travel salvage and exploration.,item_50103.png
50104,Warden's Needle Polearm 50104,Gear,Polearm,Rare,Smithing,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_50104.png
50105,Pilgrim's Brew 50105,Profession Tool,Leather Kit,Common,Engineering,Saltmarrow tidepools,Starter kit enabling profession actions.,item_50105.png
50106,Dusk Seal Gloves 50106,Gear,Cloth Gloves,Common,Fishing,Deepwatch,Baseline leveling piece with steady stats and simple flavor.,item_50106.png
50107,Cinder Hook 50107,Quest,Quest Item,Common,Cooking,Saltmarrow strand,Objective item for contracts and errands.,item_50107.png
50108,Bramble Lantern 50108,Toy,Wooden Doll,Common,Tailoring,Emberford outskirts,Harmless fun item with small social value.,item_50108.png
50109,Lanternlit Spice 50109,Consumable,Bandage,Common,Engineering,Saltmarrow tidepools,Everyday field supply that reduces downtime.,item_50109.png
50110,Mireborn Knife 50110,Map,Trail Map,Uncommon,Alchemy,Frostbriar trails,Simple navigation aid that points to micro-locations.,item_50110.png
50111,Frostbound Charm 50111,Map,Trail Map,Uncommon,Leatherworking,Glimmerdeep shore,Simple navigation aid that points to micro-locations.,item_50111.png
50112,Ashen Cog 50112,Map,Cave Map,Uncommon,Mining,Emberford outskirts,Simple navigation aid that points to micro-locations.,item_50112.png
50113,Frostbound Buckle 50113,Map,Ruin Sketch,Common,Cooking,Frost Caverns,Simple navigation aid that points to micro-locations.,item_50113.png
50114,Glimmering Cog 50114,Trinket,Charm,Uncommon,Fishing,Saltmarrow tidepools,Minor passive charm with low-power utility.,item_50114.png
50115,Glimmering Tonic 50115,Ingredient,Fish,Common,Jewelry,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_50115.png
50116,Market Ink 50116,Consumable,Salve,Uncommon,Jewelry,Frostbriar trails,Everyday field supply that reduces downtime.,item_50116.png
50117,Frostbound Skein 50117,Toy,Wooden Doll,Uncommon,Fishing,Glimmerdeep shore,Harmless fun item with small social value.,item_50117.png
50118,Glimmering Knife 50118,Consumable,Tonic,Uncommon,Alchemy,Bramblefold hedges,Everyday field supply that reduces downtime.,item_50118.png
50119,Warden's Ink 50119,Profession Tool,Cooking Kit,Common,Leatherworking,Emberford markets,Starter kit enabling profession actions.,item_50119.png
50120,Stormkissed Totem 50120,Trinket,Sigil,Common,Alchemy,Deepwatch,Minor passive charm with low-power utility.,item_50120.png
50121,Bramble Talisman 50121,Toy,Whistle,Uncommon,Alchemy,Bramblefold hedges,Harmless fun item with small social value.,item_50121.png
50122,Glimmering Charm 50122,Consumable,Tonic,Uncommon,Alchemy,Frost Caverns,Everyday field supply that reduces downtime.,item_50122.png
50123,Pilgrim's Ledger 50123,Curio,Token,Common,Jewelry,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_50123.png
50124,Oathforged Ink 50124,Toy,Wooden Doll,Uncommon,Alchemy,Ashen Ridge terraces,Harmless fun item with small social value.,item_50124.png
50125,Cinder Skein 50125,Material,Thread,Common,Fishing,Deepwatch,Core trade material used in many early recipes.,item_50125.png
50126,Ashen Fillet 50126,Document,Notice,Common,Enchanting,Duskhollow bogs,Readable lore drop that hints at routes and secrets.,item_50126.png
50127,Pilgrim's Cairn 50127,Document,Field Note,Common,Leatherworking,Saltmarrow tidepools,Readable lore drop that hints at routes and secrets.,item_50127.png
50128,Oathforged Carving 50128,Document,Letter,Rare,Fishing,Bramblefold hedges,Readable lore drop that hints at routes and secrets.,item_50128.png
50129,Saltstained Token 50129,Trinket,Sigil,Common,Cooking,Bramblefold hedges,Minor passive charm with low-power utility.,item_50129.png
50130,Market Pouch 50130,Curio,Token,Common,Mining,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_50130.png
50131,Saltstained Fillet 50131,Ingredient,Root,Common,Alchemy,Glimmerdeep canals,Common crafting input used across cooking and alchemy.,item_50131.png
50132,Warden's Charm 50132,Trophy,Fang,Uncommon,Herbalism,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_50132.png
50133,Pilgrim's Fillet 50133,Tool,Saw,Uncommon,Mining,Bramblefold hedges,Utility item for travel salvage and exploration.,item_50133.png
50134,Pilgrim's Gizmo 50134,Ingredient,Meat,Common,Leatherworking,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_50134.png
50135,Dusk Totem 50135,Trinket,Charm,Common,Enchanting,Duskhollow bogs,Minor passive charm with low-power utility.,item_50135.png
50136,Glimmering Tonic 50136,Curio,Token,Common,Herbalism,Saltmarrow strand,Flavor drop that feeds quests vendors and collectors.,item_50136.png
50137,Oathforged Cairn 50137,Consumable,Tea,Rare,Enchanting,Frost Caverns,Everyday field supply that reduces downtime.,item_50137.png
50138,Dusk Ink 50138,Map,Harbor Chart,Common,Mining,Saltmarrow tidepools,Simple navigation aid that points to micro-locations.,item_50138.png
50139,Hearthworn Token 50139,Alchemy,Essence,Common,Jewelry,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_50139.png
50140,Lanternlit Pouch 50140,Material,Wood Plank,Uncommon,Fishing,Glimmerdeep canals,Core trade material used in many early recipes.,item_50140.png
50141,Oathforged Token Amulet 50141,Gear,Amulet,Uncommon,Jewelry,Duskhollow bogs,Baseline leveling piece with steady stats and simple flavor.,item_50141.png
50142,Market Ink 50142,Alchemy,Essence,Common,Cooking,Glimmerdeep canals,Reliable reagent for low to mid-tier mixtures.,item_50142.png
50143,Market Tonic 50143,Key,Iron Key,Rare,Tailoring,Duskhollow bogs,Basic key used for side doors and caches.,item_50143.png
50144,Market Ration 50144,World Object,Totem,Common,Mining,Deepwatch,Placeable/interactive world piece for events.,item_50144.png
50145,Cinder Token 50145,Alchemy,Essence,Rare,Leatherworking,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_50145.png
50146,Hearthworn Talisman 50146,Consumable,Tea,Common,Mining,Emberford markets,Everyday field supply that reduces downtime.,item_50146.png
50147,Market Rivet 50147,Alchemy,Reagent,Common,Alchemy,Glimmerdeep canals,Reliable reagent for low to mid-tier mixtures.,item_50147.png
50148,Cinder Rivet 50148,Material,Stone Block,Uncommon,Herbalism,Saltmarrow strand,Core trade material used in many early recipes.,item_50148.png
50149,Stormkissed Tonic 50149,Trinket,Stone,Common,Smithing,Frostbriar trails,Minor passive charm with low-power utility.,item_50149.png
50150,Saltstained Ink 50150,Material,Glass,Rare,Enchanting,Deepwatch,Core trade material used in many early recipes.,item_50150.png
50151,Cinder Brew 50151,Curio,Oddity,Common,None,Emberford markets,Flavor drop that feeds quests vendors and collectors.,item_50151.png
50152,Dusk Balm 50152,Ingredient,Grain,Common,Fishing,Frost Caverns,Common crafting input used across cooking and alchemy.,item_50152.png
50153,Market Skein 50153,World Object,Marker,Common,Smithing,Duskhollow bogs,Placeable/interactive world piece for events.,item_50153.png
50154,Pilgrim's Rivet 50154,Profession Tool,Alchemy Kit,Rare,Leatherworking,Frostbriar trails,Starter kit enabling profession actions.,item_50154.png
50155,Stormkissed Shard 50155,Document,Map Scrap,Common,None,Saltmarrow tidepools,Readable lore drop that hints at routes and secrets.,item_50155.png
50156,Stormkissed Rivet 50156,Curio,Relic,Common,Cooking,Duskhollow bogs,Flavor drop that feeds quests vendors and collectors.,item_50156.png
50157,Market Token 50157,World Object,Cairn,Common,Alchemy,Frostbriar trails,Placeable/interactive world piece for events.,item_50157.png
50158,Stormkissed Totem 50158,Trinket,Charm,Common,Jewelry,Glimmerdeep canals,Minor passive charm with low-power utility.,item_50158.png
50159,Lanternlit Band 50159,Map,Trail Map,Rare,Enchanting,Saltmarrow strand,Simple navigation aid that points to micro-locations.,item_50159.png
50160,Mireborn Tonic 50160,Ingredient,Sap,Uncommon,Alchemy,Frostbriar trails,Common crafting input used across cooking and alchemy.,item_50160.png
50161,Hearthworn Rivet 50161,Tool,Hammer,Uncommon,Engineering,Bramblefold hedges,Utility item for travel salvage and exploration.,item_50161.png
50162,Mireborn Spice 50162,Consumable,Potion,Common,Mining,Emberford markets,Everyday field supply that reduces downtime.,item_50162.png
50163,Warden's Knife 50163,Alchemy,Reagent,Rare,Cooking,Deepwatch,Reliable reagent for low to mid-tier mixtures.,item_50163.png
50164,Lanternlit Pouch 50164,Tool,Lockpick,Uncommon,Cooking,Ashen Ridge terraces,Utility item for travel salvage and exploration.,item_50164.png
50165,Cinder Brew 50165,Curio,Token,Rare,Mining,Glimmerdeep shore,Flavor drop that feeds quests vendors and collectors.,item_50165.png
50166,Market Compass 50166,Consumable,Tea,Rare,Leatherworking,Frostbriar trails,Everyday field supply that reduces downtime.,item_50166.png
50167,Saltstained Ink 50167,Quest,Quest Item,Uncommon,None,Glimmerdeep shore,Objective item for contracts and errands.,item_50167.png
50168,Saltstained Shard 50168,Quest,Quest Item,Common,Enchanting,Glimmerdeep canals,Objective item for contracts and errands.,item_50168.png
50169,Dusk Rivet 50169,Profession Tool,Alchemy Kit,Common,Herbalism,Glimmerdeep canals,Starter kit enabling profession actions.,item_50169.png
50170,Warden's Ledger 50170,Material,Oil,Rare,Alchemy,Bramblefold hedges,Core trade material used in many early recipes.,item_50170.png
50171,Saltstained Ledger 50171,Alchemy,Reagent,Rare,Alchemy,Saltmarrow tidepools,Reliable reagent for low to mid-tier mixtures.,item_50171.png
50172,Warden's Cog 50172,Profession Tool,Tailor Kit,Common,Mining,Glimmerdeep canals,Starter kit enabling profession actions.,item_50172.png
50173,Warden's Compass 50173,Alchemy,Essence,Uncommon,Mining,Duskhollow bogs,Reliable reagent for low to mid-tier mixtures.,item_50173.png
50174,Pilgrim's Compass 50174,Document,Notice,Uncommon,Tailoring,Saltmarrow tidepools,Readable lore drop that hints at routes and secrets.,item_50174.png
50175,Mireborn Charm 50175,Profession Tool,Jeweler Kit,Common,Enchanting,Glimmerdeep canals,Starter kit enabling profession actions.,item_50175.png
50176,Glimmering Shard 50176,Trophy,Scale,Common,Smithing,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_50176.png
50177,Hearthworn Brew 50177,Tool,Torch,Common,Cooking,Frostbriar trails,Utility item for travel salvage and exploration.,item_50177.png
50178,Bramble Pouch 50178,Tool,Rope,Uncommon,Herbalism,Frostbriar trails,Utility item for travel salvage and exploration.,item_50178.png
50179,Lanternlit Token 50179,Profession Tool,Fishing Kit,Uncommon,Jewelry,Emberford markets,Starter kit enabling profession actions.,item_50179.png
50180,Ashen Pike 50180,Alchemy,Catalyst,Common,Leatherworking,Emberford outskirts,Reliable reagent for low to mid-tier mixtures.,item_50180.png
50181,Cinder Band Sword 50181,Gear,Sword,Uncommon,Tailoring,Duskhollow bogs,Baseline leveling piece with steady stats and simple flavor.,item_50181.png
50182,Saltstained Spice 50182,Curio,Token,Common,Engineering,Saltmarrow strand,Flavor drop that feeds quests vendors and collectors.,item_50182.png
50183,Saltstained Ink 50183,Material,Oil,Common,Cooking,Ashen Ridge terraces,Core trade material used in many early recipes.,item_50183.png
50184,Stormkissed Ink 50184,Profession Tool,Tailor Kit,Common,Enchanting,Ashen Ridge terraces,Starter kit enabling profession actions.,item_50184.png
50185,Saltstained Needle Robe 50185,Gear,Cloth Robe,Rare,Fishing,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_50185.png
50186,Hearthworn Carving 50186,Toy,Whistle,Uncommon,Cooking,Duskhollow bogs,Harmless fun item with small social value.,item_50186.png
50187,Cinder Ration 50187,Alchemy,Distillate,Uncommon,Jewelry,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_50187.png
50188,Saltstained Token 50188,Map,Ruin Sketch,Common,Fishing,Emberford outskirts,Simple navigation aid that points to micro-locations.,item_50188.png
50189,Cinder Pouch 50189,Tool,Knife,Common,Tailoring,Saltmarrow strand,Utility item for travel salvage and exploration.,item_50189.png
50190,Warden's Lantern 50190,Toy,Dice,Common,Smithing,Glimmerdeep canals,Harmless fun item with small social value.,item_50190.png
50191,Glimmering Carving 50191,Document,Ledger,Rare,Enchanting,Saltmarrow tidepools,Readable lore drop that hints at routes and secrets.,item_50191.png
50192,Mireborn Brew 50192,Material,Ingot,Common,Engineering,Deepwatch,Core trade material used in many early recipes.,item_50192.png
50193,Cinder Shard 50193,Alchemy,Phial,Common,Herbalism,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_50193.png
50194,Frostbound Compass 50194,Consumable,Salve,Common,Enchanting,Saltmarrow strand,Everyday field supply that reduces downtime.,item_50194.png
50195,Bramble Pike 50195,Map,Harbor Chart,Common,Jewelry,Ashen Ridge terraces,Simple navigation aid that points to micro-locations.,item_50195.png
50196,Mireborn Ledger 50196,Trinket,Charm,Uncommon,Cooking,Ashen Ridge terraces,Minor passive charm with low-power utility.,item_50196.png
50197,Ashen Skein 50197,Document,Field Note,Common,Fishing,Ashen Ridge terraces,Readable lore drop that hints at routes and secrets.,item_50197.png
50198,Cinder Hook 50198,Document,Notice,Common,Engineering,Glimmerdeep shore,Readable lore drop that hints at routes and secrets.,item_50198.png
50199,Market Carving Helm 50199,Gear,Mail Helm,Uncommon,Jewelry,Bramblefold hedges,Baseline leveling piece with steady stats and simple flavor.,item_50199.png
50200,Market Talisman 50200,Alchemy,Reagent,Common,Herbalism,Frostbriar trails,Reliable reagent for low to mid-tier mixtures.,item_50200.png
50201,Cinder Fillet 50201,Toy,Wooden Doll,Common,Alchemy,Deepwatch,Harmless fun item with small social value.,item_50201.png
50202,Glimmering Buckle 50202,Material,Ore,Common,Jewelry,Emberford markets,Core trade material used in many early recipes.,item_50202.png
50203,Lanternlit Stitch 50203,Toy,Dice,Common,Mining,Saltmarrow strand,Harmless fun item with small social value.,item_50203.png
50204,Oathforged Balm 50204,Consumable,Powder,Common,Alchemy,Bramblefold hedges,Everyday field supply that reduces downtime.,item_50204.png
50205,Ashen Stitch 50205,Map,Trail Map,Common,Jewelry,Emberford markets,Simple navigation aid that points to micro-locations.,item_50205.png
